Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
2019,Ab,gr,Ha,15.0,15.0,103.666,0.0,+1 Lap,54.0,18.0,21.968,No rain,21.1,68,2.06,0.0,1
2021,Fr,ru,Wi,14.0,12.0,98.314,0.0,+1 Lap,52.0,17.0,30.092,No rain,8.64,77,3.73,0.1,1
2019,Au,al,To,13.0,14.0,88.188,0.0,+1 Lap,57.0,14.0,21.780,No rain,17.76,67,0.89,0.0,1
2021,Sp,st,As,11.0,11.0,82.607,0.0,+1 Lap,65.0,22.0,21.756,No rain,9.61,85,3.09,0.0,2
2019,Ge,gi,Al,11.0,13.0,79.3,0.0,Finished,64.0,3.0,22.509,No rain,0.22,86,0.0,0.0,1
2024,Sp,ma,,,,,,DNF,,17.0,21.544,No rain,9.61,85,3.09,0.0,1
2024,Em,ha,Me,8.0,6.0,80.331,8.0,Finished,63.0,27.0,29.547,Rain,4.34,96,2.91,1.33,1
2024,Ca,hu,,,,,,DNF,,12.0,24.233,No rain,-4.97,57,6.69,0.0,2
2020,Tu,ve,Fe,11.0,3.0,99.662,15.0,Finished,58.0,8.0,24.022,No rain,5.73,65,4.63,0.0,2
2024,Az,ma,,,,,,DNF,,49.0,20.725,Rain,4.97,75,12.35,0.0,2
2023,Br,oc,Al,13.0,20.0,93.941,0.0,DNF,9.0,,,No rain,4.18,97,2.28,0.0,0
2019,Ab,no,Mc,6.0,8.0,103.02600000000001,4.0,+1 Lap,54.0,8.0,22.974,No rain,21.1,68,2.06,0.0,1
2023,Mo,al,Wi,13.0,14.0,76.672,0.0,+1 Lap,77.0,18.0,24.290,No rain,11.92,73,3.6,0.0,2
2022,Fr,oc,Al,10.0,8.0,98.684,4.0,Finished,53.0,18.0,44.747,No rain,8.64,77,3.73,0.1,1
2019,Ge,ma,,,,,,DNF,,3.0,22.358,No rain,0.22,86,0.0,0.0,2
2023,Me,no,Mc,17.0,5.0,81.944,10.0,Finished,71.0,11.0,23.408,No rain,23.88,23,4.12,0.0,3
2019,Ch,st,Ra,16.0,12.0,96.678,0.0,+1 Lap,55.0,20.0,23.466,No rain,2.99,75,4.0,0.0,1
2019,Ca,le,Fe,3.0,3.0,74.356,15.0,Finished,70.0,33.0,23.732,No rain,-4.97,57,6.69,0.0,1
2020,Br,no,Mc,5.0,5.0,90.05799999999999,10.0,Finished,52.0,12.0,30.289,No rain,4.18,97,2.28,0.0,1
2019,Az,bo,Me,1.0,1.0,104.024,25.0,Finished,51.0,12.0,20.006,Rain,4.97,75,12.35,0.0,1
2023,It,hu,,,,,,DNF,,14.0,26.095,Rain,5.0,87,0.45,1.0,2
2023,Ja,bo,Al,16.0,20.0,122.755,0.0,DNF,7.0,6.0,53.512,No rain,7.84,72,6.85,0.0,2
2020,Ab,ma,,,,,,DNF,,10.0,21.289,No rain,21.1,68,2.06,0.0,1
2023,Hu,al,Wi,16.0,11.0,84.051,0.0,+1 Lap,69.0,31.0,21.762,No rain,1.26,70,3.09,0.0,2
2019,Br,kv,To,17.0,9.0,89.91,2.0,Finished,52.0,12.0,29.377,No rain,4.18,97,2.28,0.0,2
2020,Ei,ve,Fe,11.0,11.0,90.408,0.0,Finished,60.0,11.0,22.616,No rain,-2.31,93,3.09,0.0,2
2023,Qa,ga,Al,7.0,12.0,86.31,0.0,Finished,57.0,11.0,28.429,No rain,20.97,72,3.43,0.0,2
2019,Br,ma,,,,,,DNF,,13.0,27.827,No rain,4.18,97,2.28,0.0,2
2024,Ja,ts,RB,10.0,10.0,96.342,1.0,+1 Lap,52.0,1.0,26:24.553,No rain,7.84,72,6.85,0.0,2
2020,Ba,gi,Al,16.0,16.0,94.536,0.0,+1 Lap,56.0,1.0,19:14.906,No rain,21.05,72,5.45,0.0,1
2019,Ge,sa,Mc,7.0,5.0,77.84100000000001,10.0,Finished,64.0,3.0,23.363,No rain,0.22,86,0.0,0.0,1
2022,Sp,al,Al,20.0,9.0,86.599,2.0,+1 Lap,65.0,31.0,21.914,No rain,9.61,85,3.09,0.0,2
2019,Ba,ru,Wi,19.0,15.0,97.313,0.0,+1 Lap,56.0,12.0,24.633,No rain,21.05,72,5.45,0.0,2
2021,Sa,oc,Al,9.0,4.0,91.797,12.0,Finished,50.0,13.0,16:37.126,No rain,26.03,53,2.06,0.0,2
2023,Mo,pi,Mc,11.0,10.0,77.513,1.0,+1 Lap,77.0,54.0,25.851,No rain,11.92,73,3.6,0.0,1
2022,Ba,sa,Fe,3.0,2.0,95.74000000000001,18.0,Finished,57.0,33.0,24.438,No rain,21.05,72,5.45,0.0,2
2021,Fr,mi,,,,,,DNF,,15.0,31.457,No rain,8.64,77,3.73,0.1,1
2022,Br,ve,As,18.0,9.0,92.471,2.0,Finished,52.0,6.0,29.846,No rain,4.18,97,2.28,0.0,2
2022,Mo,ha,Me,8.0,8.0,77.203,4.0,Finished,64.0,15.0,24.796,No rain,11.92,73,3.6,0.0,2
2022,Ab,sa,Fe,4.0,4.0,88.879,12.0,Finished,58.0,17.0,21.930,No rain,21.1,68,2.06,0.0,2
2024,Ca,al,Wi,10.0,17.0,79.35900000000001,0.0,DNF,52.0,25.0,24.753,No rain,-4.97,57,6.69,0.0,1
2024,La,ha,Me,10.0,2.0,95.47999999999999,18.0,Finished,50.0,27.0,21.355,No rain,14.64,31,1.54,0.0,2
2019,Br,ri,Re,7.0,7.0,89.624,6.0,Finished,52.0,12.0,28.416,No rain,4.18,97,2.28,0.0,2
2022,Sp,ga,Al,14.0,13.0,86.987,0.0,+1 Lap,65.0,29.0,27.947,No rain,9.61,85,3.09,0.0,2
