Unnamed: 0,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
6856,2023,Hu,ts,Al,17.0,15.0,83.269,0.0,+1 Lap,69.0,9.0,26.170,No rain,1.26,70,3.09,0.0,1
12912,2022,Sa,no,Mc,11.0,7.0,92.753,6.0,Finished,50.0,16.0,20.383,No rain,26.03,53,2.06,0.0,1
14026,2023,Ja,al,Wi,13.0,16.0,99.185,0.0,DNF,26.0,1.0,50.143,No rain,7.84,72,6.85,0.0,2
6654,2024,Au,oc,Al,15.0,16.0,81.354,0.0,+1 Lap,57.0,16.0,30.626,No rain,17.76,67,0.89,0.0,2
1425,2024,Qa,pe,,,,,,DNF,,,,No rain,20.97,72,3.43,0.0,0
5027,2024,Au,zh,Sa,19.0,15.0,81.327,0.0,+1 Lap,57.0,35.0,36.866,No rain,17.76,67,0.89,0.0,2
5281,2024,Ba,sa,Fe,4.0,3.0,94.507,15.0,Finished,57.0,14.0,24.474,No rain,21.05,72,5.45,0.0,1
12421,2019,Ge,ra,,,,,,DNF,,3.0,27.256,No rain,0.22,86,0.0,0.0,1
1502,2021,Qa,ma,,,,,,DNF,,17.0,25.300,No rain,20.97,72,3.43,0.0,3
9799,2020,Hu,ru,Wi,12.0,18.0,79.98400000000001,0.0,+1 Lap,69.0,4.0,21.184,No rain,1.26,70,3.09,0.0,2
16884,2022,Em,ma,,,,,,DNF,,51.0,29.942,Rain,4.34,96,2.91,1.33,2
678,2024,Ca,sa,Wi,13.0,20.0,86.48400000000001,0.0,DNF,23.0,,,No rain,-4.97,57,6.69,0.0,0
6673,2020,Ba,ma,,,,,,DNF,,1.0,19:24.529,No rain,21.05,72,5.45,0.0,2
5851,2019,Ge,ra,,,,,,DNF,,3.0,27.256,No rain,0.22,86,0.0,0.0,1
7194,2021,Du,ts,Al,14.0,19.0,75.783,0.0,DNF,48.0,31.0,19.850,No rain,1.59,88,3.6,0.0,1
10095,2020,Sp,pe,,,,,,DNF,,29.0,22.641,No rain,9.61,85,3.09,0.0,1
11422,2019,It,ma,,,,,,DNF,,27.0,24.303,Rain,5.0,87,0.45,1.0,2
5053,2021,Sã,ri,Mc,11.0,19.0,74.443,0.0,DNF,49.0,7.0,19.732,No rain,21.25,86,4.63,0.0,1
1850,2022,Mi,la,Wi,19.0,14.0,94.169,0.0,Finished,57.0,34.0,19.185,No rain,22.99,64,8.23,0.0,1
6522,2024,Un,zh,Sa,18.0,19.0,99.272,0.0,+1 Lap,55.0,35.0,24.890,Rain,17.84,85,3.09,0.0,2
