,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
26,2022,Em,mi,,,,,,DNF,,18.0,31.320,Rain,4.34,96,2.91,1.33,2
27,2023,Ca,bo,Al,14.0,10.0,76.625,1.0,Finished,70.0,36.0,24.038,No rain,-4.97,57,6.69,0.0,1
28,2020,Em,bo,Me,1.0,2.0,75.902,18.0,Finished,63.0,51.0,30.129,Rain,4.34,96,2.91,1.33,2
29,2021,Fr,ga,Al,6.0,7.0,98.10300000000001,6.0,Finished,53.0,17.0,30.781,No rain,8.64,77,3.73,0.1,1
30,2019,Fr,ve,Fe,7.0,5.0,92.74000000000001,11.0,Finished,53.0,25.0,30.044,No rain,8.64,77,3.73,0.1,2
31,2020,70,la,Wi,18.0,19.0,89.95,0.0,+1 Lap,51.0,26.0,28.086,No rain,4.18,97,2.28,0.0,2
32,2023,Mo,le,Fe,6.0,6.0,75.773,8.0,Finished,78.0,44.0,24.192,No rain,11.92,73,3.6,0.0,1
33,2023,Ca,oc,Al,6.0,8.0,76.782,4.0,Finished,70.0,12.0,24.402,No rain,-4.97,57,6.69,0.0,2
34,2023,Sã,ga,Al,15.0,7.0,74.521,6.0,Finished,71.0,1.0,20.523,No rain,21.25,86,4.63,0.0,2
35,2019,Fr,al,To,11.0,15.0,95.029,0.0,+1 Lap,52.0,25.0,30.279,No rain,8.64,77,3.73,0.1,1
36,2020,Sp,ra,,,,,,DNF,,44.0,22.197,No rain,9.61,85,3.09,0.0,2
37,2021,Hu,mi,,,,,,DNF,,3.0,36.813,No rain,1.26,70,3.09,0.0,2
38,2023,Sã,ma,,,,,,DNF,,1.0,18.535,No rain,21.25,86,4.63,0.0,2
39,2019,Ge,ru,Wi,17.0,11.0,77.485,0.0,Finished,64.0,24.0,19.287,No rain,0.22,86,0.0,0.0,2
40,2024,Ba,pi,Mc,8.0,8.0,94.983,4.0,Finished,57.0,12.0,25.450,No rain,21.05,72,5.45,0.0,1
41,2022,Ba,al,Al,8.0,9.0,96.733,2.0,Finished,57.0,25.0,24.909,No rain,21.05,72,5.45,0.0,2
